,Gene cluster #0,Gene cluster #1,Gene cluster #2,Gene cluster #3,Gene cluster #4,Gene cluster #5,Gene cluster #6,Gene cluster #7,Gene cluster #8,Gene cluster #9,Gene cluster #10,Gene cluster #11,Gene cluster #12,Gene cluster #13,Gene cluster #14,Gene cluster #15,Gene cluster #16,Gene cluster #17
30,0.02344075315980773,0.04642503359754681,0.048237391776376225,0.034989387656813815,0.05287918244954481,0.025064958576708176,0.032640977668684075,0.0431183790295893,0.08199181462450562,0.10060849661351676,0.02482521194993552,0.041053576083195605,0.04274734759919579,0.1506374784106369,0.19120668451739428,0.0637757975682554,0.050248386303950884,0.018134682665015268
35,0.0214454733319974,0.04471393081448902,0.06588875461599422,0.03688465569671796,0.052689434405062484,0.024378322549538214,0.025327481497717998,0.02899101035013745,0.0788666471546971,0.11045635379801864,0.029094115322647763,0.03429794474961123,0.05052790399198518,0.16361187939435606,0.19071256269711204,0.06701994146873833,0.06382636692575779,0.021389128450382988
36,0.019978834069423083,0.04506354137500165,0.06377342163978661,0.03855237462670024,0.05343703153803843,0.023809868359814947,0.02626433229269291,0.03174943797433226,0.07576472678021934,0.1084318384070466,0.029231199800212774,0.03400279753319052,0.04997199978864938,0.156127040476807,0.19545175493290506,0.06486330750965555,0.06515126027206597,0.020626057949292502
39,0.021576082144826543,0.045835534420517604,0.05636485625537374,0.03562305258700813,0.05483902894246012,0.025297703773045726,0.029679641661461295,0.03621637404443625,0.07923748546923537,0.10064547377248112,0.029157680268369093,0.038641361630830255,0.04680312415697748,0.1505467259522376,0.19860443406429285,0.06191055115663373,0.056756210819035625,0.02172674539415204
40,0.017114298066993758,0.03830405663010156,0.04036273076826835,0.04822644910356154,0.055974417490827204,0.02543108945883408,0.03160575225675864,0.04229514983825496,0.07984916303480366,0.10431640318122258,0.02611530319843304,0.049748898248597566,0.048205812520720766,0.1391621044933172,0.19612261053064453,0.06059126261446408,0.05605987882340322,0.024951035233150773
43,0.0192552715002565,0.04530687534488549,0.05029335971787546,0.031296004384166284,0.05220128287144532,0.02703952408331342,0.032102082090894046,0.04052111565468389,0.07945716284613133,0.0955154663192676,0.026236175108188764,0.03849114466367201,0.042670257638453085,0.15108646944243684,0.19952560116957363,0.0582933961178857,0.05102786528713815,0.022308780164566444
47,0.023030121044923645,0.044154685269982,0.04520794967278271,0.03473996273043803,0.05488719870484495,0.026632679668421075,0.03263107015093311,0.04235014308787557,0.08087128204748079,0.10766695149267748,0.026975020519665827,0.043369511161810766,0.04503888867269798,0.14517374348465073,0.1886352285205248,0.060130703284595466,0.05164504241428843,0.01992911338220376
69,0.019135083360496283,0.043921603651724414,0.06380406079643697,0.03847599749325607,0.05391479114295336,0.022098656905759885,0.024308317215834235,0.029685207414741795,0.0764679953801141,0.10645089910359716,0.02886286092280532,0.03443338766118473,0.04836348368132147,0.14560689696972304,0.19263074039924186,0.06502215652170551,0.06386840464683796,0.0187581581731151
72,0.020331469554710067,0.04503282717431925,0.0465148623566716,0.03552371634789071,0.052124521305188846,0.025233299478157428,0.03215774844336168,0.04177142585008442,0.08229683246785148,0.1035825337033132,0.026853580695200482,0.044677099897029296,0.04653613471523869,0.1528458013981701,0.1958491416835028,0.06364128724915086,0.05230865004667323,0.01892283776148392
73,0.020190208883195462,0.04881570933330863,0.05864913910496073,0.028881343770012405,0.05315004262014994,0.02431080513586415,0.030775608808040755,0.036071466432665636,0.08190047516557601,0.10044285814082284,0.02839030283464884,0.03555320680144601,0.04568550301005634,0.15734207503459274,0.20116682292924853,0.06250005777941851,0.05717219284162948,0.019927046566177654
