,Gene cluster #0,Gene cluster #1,Gene cluster #2,Gene cluster #3,Gene cluster #4,Gene cluster #5,Gene cluster #6,Gene cluster #7,Gene cluster #8,Gene cluster #9,Gene cluster #10,Gene cluster #11,Gene cluster #12,Gene cluster #13,Gene cluster #14,Gene cluster #15,Gene cluster #16,Gene cluster #17,clusterPredictions
35,0.297931819919949,0.2272559903726907,0.1998008366851562,0.2784054579527045,0.6308319979226262,0.38395429736073655,0.20281886189747045,0.2020813813241261,0.3615696885669491,0.08335922472980263,0.3287786580424721,0.19679116920611814,0.15968080783695934,0.3888035702174157,0.2845227586386705,0.3716238337201934,0.1426898753413688,0.2350741878328349,4
36,0.30079863160532433,0.2275144060697221,0.19757767125309844,0.28275682560153675,0.6417597068229225,0.38698187976858905,0.20230739103076864,0.20269134858500398,0.3605361868780005,0.0830574770038441,0.33188020551717,0.19745278861400573,0.15767353575477855,0.3882212398030948,0.28009430847579997,0.37050086408015415,0.14067348657441248,0.2369159432613989,4
39,0.3044525986573497,0.22632685529467625,0.18580339859253706,0.276007747277825,0.6440086576303143,0.38823581117615,0.20816735620122465,0.2140080722155525,0.3627682490483493,0.07663123553636501,0.3286109081473798,0.20865954153142802,0.15496027698541195,0.3862285078080307,0.2831895188924285,0.3702130341677513,0.13373498400624453,0.2364482113130384,5
40,0.2996423819689097,0.2120896433834723,0.16226412266675588,0.2914577705959003,0.6540503105478825,0.3924825445853338,0.2074982197900488,0.22521701324511506,0.3570230147804089,0.0794279724274559,0.3331214485677733,0.23556117424640974,0.15726550755755228,0.3799087102553999,0.2806666768086973,0.3605746829029484,0.13062289011938,0.2399515063261988,2
43,0.3032147678760332,0.22761790673553106,0.17719767662741034,0.2719427260971506,0.644827064640366,0.3910758812765336,0.21236722195159088,0.2208903503820534,0.3665641091912888,0.07554129224407663,0.3229448519308812,0.21104526392300388,0.14888514855631002,0.3827211253714972,0.2773222639589881,0.3635256223197864,0.12491147669205754,0.2378372154826381,1
47,0.3052511465408704,0.2236690325764906,0.16856467251401694,0.2756108597132678,0.6487433460902424,0.3911086828350064,0.2140199322541668,0.22603704337800076,0.3638973576339044,0.08184116046891747,0.3263845491398184,0.22203608960811094,0.14978365831831056,0.3820395790594092,0.2791141558878813,0.3684506275523848,0.12427120011157396,0.2354423169447725,1
69,0.2999296597478898,0.22502728418781026,0.1979135044310712,0.28688067325922195,0.6434706548980657,0.3884614600392812,0.1997262642956596,0.19984521120873855,0.3557686735981577,0.08132070129145591,0.33537478720540786,0.1970105312129759,0.15848923047649646,0.38630075038645617,0.2724249603909834,0.3675401777330064,0.1412809652560217,0.2350495307585034,4
72,0.3038381647675438,0.22416166236952767,0.17078520915142376,0.26941763507058863,0.6390441320840217,0.3879258836662704,0.21441716767362803,0.2270843963601205,0.3696465122698861,0.07946891056150464,0.3224880617565828,0.2232588103736037,0.15325539412739905,0.3917562123787877,0.2849522038012099,0.3707784894749857,0.12693356324870184,0.2357098610147892,3
73,0.3064006835633202,0.23116107340692066,0.1888184944763519,0.27281928620248463,0.6360561669005232,0.3888245103526832,0.21143658126230044,0.21375728199297936,0.3695076887520038,0.07647628764025279,0.3256828124681854,0.2026835581349533,0.15283511788403847,0.3947154459395256,0.2920026526026357,0.3709472752570374,0.13124268730396382,0.23610448179858826,5
74,0.30337958720649405,0.22608773919388,0.1987641223502139,0.282139750275212,0.6418786404613089,0.3849183737462213,0.20092000247563896,0.20091339882951764,0.3620554801101472,0.08256889807123739,0.3333745933404603,0.19802756341163225,0.1593810178298626,0.3907611759405792,0.27762582885051795,0.37366483464984257,0.14273482293244374,0.234841388362686,4
78,0.3023465017776982,0.2027487604419924,0.16110373450343102,0.27162697929342305,0.6414388844462875,0.3847508040190077,0.20070288788197505,0.21919034900304807,0.3613312074190366,0.07530004322518008,0.3367446778738184,0.2417344507516909,0.16463206462198135,0.3806934059613066,0.28066794847602666,0.3699567224009943,0.13718787023724865,0.23807395547100224,0
79,0.30710760635747697,0.22593642058314595,0.17226072567539144,0.267926180296215,0.6464768467783109,0.3913265478956346,0.2131464644163222,0.21907208908191328,0.3611290176014119,0.07552108999941738,0.3236388313800521,0.20838962645406608,0.14228406576265315,0.3754212290935373,0.2738688661905552,0.3630572251130891,0.11891781549603103,0.2333205350619589,1
82,0.3019855104362769,0.21506641301541587,0.16409156445524864,0.26772158216739783,0.6353614092612091,0.38345119439328856,0.21061963383273766,0.2287383628527847,0.3679794954860208,0.0795417226652773,0.3227692559593155,0.2362374606493419,0.16022715099169738,0.3960911767629179,0.28308286180336834,0.3763046076749483,0.13193661147133304,0.2332566247017773,0
92,0.3027273838247521,0.22478095182855687,0.19102099977954856,0.2784228308472889,0.6419419188892996,0.3869776082668008,0.2027381832340788,0.20201395501483355,0.35922386148221835,0.07928663223900137,0.32783519618555595,0.19638534509641128,0.15259584365747875,0.38419103342035493,0.27206997641847874,0.3672131578358711,0.13422563832010392,0.23324699156659665,4
93,0.30604019908835245,0.22333250604975172,0.1659841532300101,0.2652692085297347,0.633437163485805,0.3848421276288385,0.21524473837719826,0.2289541025879284,0.36991436478833584,0.07852010679390688,0.3165743235095849,0.22460431692209049,0.14990802199158498,0.3885973504206409,0.2715284805790945,0.3688234628560175,0.12332952208382457,0.2326706870276543,3
98,0.305583325967448,0.23123711436011266,0.17884534250067582,0.26848950053506315,0.6359626577323383,0.3892461113123737,0.21601854352911315,0.2236208582505245,0.36810468876885216,0.07703314415750538,0.3208167579328924,0.21154381675578668,0.14942006975349126,0.3908963255322011,0.28207621841991465,0.3715100172095434,0.12552110638005806,0.235904409218274,1
101,0.3004771665711037,0.20770513017580275,0.16155109687629274,0.2671937525233423,0.6359496075168571,0.3811910146444804,0.20530508703930234,0.2246690645150528,0.36615741188467305,0.07728110486090893,0.330661143746644,0.2406216376269513,0.16399846560147638,0.3938943192433757,0.2811236342736266,0.3737254695592243,0.13532343848265874,0.2335460802877152,0
107,0.2995826228582033,0.20870100857903584,0.16182670377055833,0.26964488684718624,0.6327271630442747,0.3787567454440907,0.2066084322869805,0.2267730847521053,0.3659082684543833,0.07577642318974699,0.32789536250573353,0.2417949494497968,0.16461215415502006,0.3977596227044031,0.28510519227851355,0.3753949962433542,0.13589030118667478,0.2323917049437509,0
108,0.3016914167484429,0.20327111200160375,0.15957902448204345,0.2697571274841171,0.6368944370999584,0.3839438091282785,0.2024839935067604,0.2207172711549996,0.36340812234818665,0.08104880642474441,0.3295859745805377,0.2401411186432757,0.1628748631465107,0.38794676780687387,0.2810408514709007,0.3730048702286547,0.13489027774263418,0.2330020040351863,0
